observation_time,source_system,station_code,mast_id,latitude,longitude,tqi,gmt,age_since_maint,temperature,delay_minutes,contact_wire_wear_mm,catenary_tension_kg,stagger_mm,voltage_kv,track_condition,defect_type,signal_aspect,axle_counter_status
2026-09-23T09:00:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,52.2,42.1,35.0,30.4,2.60,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T09:00:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.7,48.1,55.0,31.4,2.10,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T09:00:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,68.2,64.1,125.0,34.7,3.50,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T09:00:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.7,78.1,210.0,38.9,1.30,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T09:00:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.7,84.1,250.0,41.4,4.40,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T09:05:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,35.0,30.6,2.40,1.45,1020,200,25.10,Good - Baseline,None,DOUBLE_YELLOW,CLEAR
2026-09-23T09:05:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,55.0,31.6,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,DOUBLE_YELLOW,CLEAR
2026-09-23T09:05:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,125.0,34.9,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,DOUBLE_YELLOW,CLEAR
2026-09-23T09:05:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,210.1,39.1,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,DOUBLE_YELLOW,CLEAR
2026-09-23T09:05:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,250.1,41.6,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,DOUBLE_YELLOW,OCCUPIED
2026-09-23T09:10:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.0,35.1,30.7,2.40,1.45,1020,200,25.10,Good - Baseline,None,YELLOW,CLEAR
2026-09-23T09:10:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.4,48.0,55.1,31.7,1.90,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,YELLOW,CLEAR
2026-09-23T09:10:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,67.9,64.0,125.1,35.0,3.30,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,YELLOW,CLEAR
2026-09-23T09:10:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.4,78.0,210.1,39.2,1.10,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,YELLOW,CLEAR
2026-09-23T09:10:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.4,84.0,250.1,41.7,4.20,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,YELLOW,OCCUPIED
2026-09-23T09:15:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,52.2,42.0,35.1,30.9,2.10,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
2026-09-23T09:15:00+00:00,TDMS,MJF,MJF-M-001,17.4553,78.5301,58.7,48.0,55.1,31.9,1.60,2.10,995,210,24.90,Good - Normal Wear,Minor Sleeper Edge Crack,GREEN,CLEAR
2026-09-23T09:15:00+00:00,TDMS,AWL,AWL-M-001,17.4941,78.5908,68.2,64.0,125.2,35.2,3.00,2.70,970,220,24.70,Fair - Moderate Wear,Gauge Widening & Weld Fatigue,GREEN,CLEAR
2026-09-23T09:15:00+00:00,TDMS,GHKT,GHKT-M-001,17.5307,78.6499,81.7,78.0,210.2,39.5,0.80,3.20,945,228,24.50,High Risk - Degradation,Rail Flange Wear & Corrugation,GREEN,CLEAR
2026-09-23T09:15:00+00:00,TDMS,BBN,BBN-M-001,17.5505,78.6830,85.7,84.0,250.2,42.0,3.90,3.75,920,235,24.30,Critical - Maintenance Block Required,Severe Track Twist & Heavy Rail Wear,GREEN,OCCUPIED
2026-09-23T09:20:00+00:00,TDMS,SC,SC-M-001,17.4344,78.5013,51.9,42.1,35.2,31.0,2.40,1.45,1020,200,25.10,Good - Baseline,None,GREEN,CLEAR
