observation_time,source_system,station_code,mast_id,latitude,longitude,tqi,gmt,age_since_maint,temperature,delay_minutes
2026-09-21T15:00:00Z,SMMS,SC,,,,,,,,2.5
2026-09-21T15:00:00Z,SMMS,MJF,,,,,,,,1.8
2026-09-21T15:00:00Z,SMMS,AWL,,,,,,,,3.2
2026-09-21T15:00:00Z,SMMS,GHKT,,,,,,,,0.9
2026-09-21T15:00:00Z,SMMS,BBN,,,,,,,,4.1
2026-09-21T15:05:00Z,SMMS,SC,,,,,,,,2.4
2026-09-21T15:05:00Z,SMMS,MJF,,,,,,,,1.9
2026-09-21T15:05:00Z,SMMS,AWL,,,,,,,,3.1
2026-09-21T15:05:00Z,SMMS,GHKT,,,,,,,,1.0
2026-09-21T15:05:00Z,SMMS,BBN,,,,,,,,4.0
2026-09-21T15:10:00Z,SMMS,SC,,,,,,,,2.6
2026-09-21T15:10:00Z,SMMS,MJF,,,,,,,,1.7
2026-09-21T15:10:00Z,SMMS,AWL,,,,,,,,3.3
2026-09-21T15:10:00Z,SMMS,GHKT,,,,,,,,0.8
2026-09-21T15:10:00Z,SMMS,BBN,,,,,,,,4.2
2026-09-21T15:15:00Z,SMMS,SC,,,,,,,,2.5
2026-09-21T15:15:00Z,SMMS,MJF,,,,,,,,1.8
2026-09-21T15:15:00Z,SMMS,AWL,,,,,,,,3.2
2026-09-21T15:15:00Z,SMMS,GHKT,,,,,,,,0.9
2026-09-21T15:15:00Z,SMMS,BBN,,,,,,,,4.1
2026-09-21T15:20:00Z,SMMS,SC,,,,,,,,2.3
2026-09-21T15:20:00Z,SMMS,MJF,,,,,,,,2.0
2026-09-21T15:20:00Z,SMMS,AWL,,,,,,,,3.0
2026-09-21T15:20:00Z,SMMS,GHKT,,,,,,,,1.1
2026-09-21T15:20:00Z,SMMS,BBN,,,,,,,,3.9
2026-09-21T15:25:00Z,SMMS,SC,,,,,,,,2.7
2026-09-21T15:25:00Z,SMMS,MJF,,,,,,,,1.8
2026-09-21T15:25:00Z,SMMS,AWL,,,,,,,,3.2
2026-09-21T15:25:00Z,SMMS,GHKT,,,,,,,,0.9
2026-09-21T15:25:00Z,SMMS,BBN,,,,,,,,4.1
2026-09-21T15:30:00Z,SMMS,SC,,,,,,,,2.4
2026-09-21T15:30:00Z,SMMS,MJF,,,,,,,,1.9
2026-09-21T15:30:00Z,SMMS,AWL,,,,,,,,3.1
2026-09-21T15:30:00Z,SMMS,GHKT,,,,,,,,1.0
2026-09-21T15:30:00Z,SMMS,BBN,,,,,,,,4.0
2026-09-21T15:35:00Z,SMMS,SC,,,,,,,,2.5
2026-09-21T15:35:00Z,SMMS,MJF,,,,,,,,1.7
2026-09-21T15:35:00Z,SMMS,AWL,,,,,,,,3.3
2026-09-21T15:35:00Z,SMMS,GHKT,,,,,,,,0.8
2026-09-21T15:35:00Z,SMMS,BBN,,,,,,,,4.2
2026-09-21T15:40:00Z,SMMS,SC,,,,,,,,2.6
2026-09-21T15:40:00Z,SMMS,MJF,,,,,,,,1.8
2026-09-21T15:40:00Z,SMMS,AWL,,,,,,,,3.2
2026-09-21T15:40:00Z,SMMS,GHKT,,,,,,,,0.9
2026-09-21T15:40:00Z,SMMS,BBN,,,,,,,,4.1
2026-09-21T15:45:00Z,SMMS,SC,,,,,,,,2.4
2026-09-21T15:45:00Z,SMMS,MJF,,,,,,,,1.9
2026-09-21T15:45:00Z,SMMS,AWL,,,,,,,,3.0
2026-09-21T15:45:00Z,SMMS,GHKT,,,,,,,,1.0
2026-09-21T15:45:00Z,SMMS,BBN,,,,,,,,3.9
2026-09-21T15:50:00Z,SMMS,SC,,,,,,,,2.5
2026-09-21T15:50:00Z,SMMS,MJF,,,,,,,,1.8
2026-09-21T15:50:00Z,SMMS,AWL,,,,,,,,3.2
2026-09-21T15:50:00Z,SMMS,GHKT,,,,,,,,0.9
2026-09-21T15:50:00Z,SMMS,BBN,,,,,,,,4.0
2026-09-21T15:55:00Z,SMMS,SC,,,,,,,,2.3
2026-09-21T15:55:00Z,SMMS,MJF,,,,,,,,2.0
2026-09-21T15:55:00Z,SMMS,AWL,,,,,,,,3.1
2026-09-21T15:55:00Z,SMMS,GHKT,,,,,,,,1.1
2026-09-21T15:55:00Z,SMMS,BBN,,,,,,,,4.1
2026-09-21T16:00:00Z,SMMS,SC,,,,,,,,2.5
2026-09-21T16:00:00Z,SMMS,MJF,,,,,,,,1.8
2026-09-21T16:00:00Z,SMMS,AWL,,,,,,,,3.2
2026-09-21T16:00:00Z,SMMS,GHKT,,,,,,,,0.9
2026-09-21T16:00:00Z,SMMS,BBN,,,,,,,,4.1
2026-09-21T15:00:00Z,TMS,SC,,,,65.0,70.0,180.0,38.0,
2026-09-21T15:00:00Z,TMS,MJF,,,,72.0,68.0,90.0,36.5,
2026-09-21T15:00:00Z,TMS,AWL,,,,58.0,62.0,240.0,40.0,
2026-09-21T15:00:00Z,TMS,GHKT,,,,81.0,75.0,60.0,35.0,
2026-09-21T15:00:00Z,TMS,BBN,,,,74.0,71.0,120.0,37.2,
2026-09-21T15:00:00Z,TDMS,,MAST-SC-001,,,,,,,
2026-09-21T15:00:00Z,COA,,,,17.4399,78.4983,,,,,
